ticket,symbol,type,volume,open_time,open_price,close_time,close_price,sl,tp,profit,commission,swap,net_profit,reason,bars_held,duration_s,mae,mfe,mae_points,mfe_points,slippage_points,balance_after,equity_after,comment,magic,tag
65,EURUSDz,buy,0.79,2023-12-01 11:15:00,1.08895,2023-12-01 12:50:00,1.08839,1.08841,1.09123,-44.24000000000916,5.53,0.0,-49.77000000000916,SL,18,5700.0,-32.3900000000017,90.84999999999877,-41.000000000002146,114.99999999999842,2.946613188304958,8402.999999999996,8450.794999999993,fade breakout down,0,long
66,EURUSDz,sell,1.1,2023-12-04 09:40:00,1.08748,2023-12-04 09:45:00,1.08788,1.08785,1.08499,-43.999999999995154,7.700000000000001,0.0,-51.69999999999516,SL,0,300.0,-40.699999999997964,38.50000000000798,-36.999999999998145,35.00000000000725,4.064119460239269,8351.300000000001,8361.749999999995,fade breakout up,0,short
67,EURUSDz,buy,0.94,2023-12-06 12:35:00,1.07775,2023-12-06 14:05:00,1.08018,1.07728,1.08018,228.41999999999365,6.58,0.0,221.83999999999364,TP,17,5400.0,-36.659999999989694,208.68000000001038,-38.99999999998904,222.00000000001106,1.2323540709679177,8573.139999999994,8540.71000000001,fade breakout down,0,long
68,EURUSDz,sell,0.87,2023-12-07 10:00:00,1.07798,2023-12-07 13:40:00,1.07851,1.07849,1.07553,-46.11000000001231,6.09,0.0,-52.20000000001231,SL,43,13200.0,-32.189999999998385,174.87000000000586,-36.999999999998145,201.0000000000067,2.931564799234602,8520.939999999982,8615.335000000001,fade breakout up,0,short
69,EURUSDz,sell,1.37,2023-12-11 10:10:00,1.07691,2023-12-11 10:20:00,1.0773,1.07728,1.07516,-53.429999999985,9.59,0.0,-63.019999999985004,SL,1,600.0,-28.76999999997554,13.700000000028913,-20.999999999982144,10.000000000021103,5.3362902909765895,8457.919999999996,8487.375000000007,fade breakout up,0,short
70,EURUSDz,buy,0.86,2023-12-13 11:35:00,1.07834,2023-12-13 13:35:00,1.07927,1.07784,1.07927,79.97999999998927,6.02,0.0,73.95999999998928,TP,23,7200.0,-21.50000000000718,53.319999999986486,-25.000000000008345,61.99999999998428,1.5001687861828283,8531.879999999985,8491.88999999999,fade breakout down,0,long
71,EURUSDz,sell,2.13,2023-12-14 09:20:00,1.09077,2023-12-14 10:45:00,1.09104,1.09098,1.08801,-57.50999999999839,14.91,0.0,-72.4199999999984,SL,16,5100.0,-44.72999999996196,195.96000000000677,-20.999999999982144,92.00000000000318,6.991763421034211,8459.459999999986,8539.334999999988,fade breakout up,0,short
72,EURUSDz,buy,1.62,2023-12-18 11:15:00,1.09115,2023-12-18 11:40:00,1.0909,1.09089,1.09302,-40.50000000001353,11.34,0.0,-51.84000000001353,SL,4,1500.0,-17.82000000000883,34.01999999997108,-11.000000000005448,20.999999999982144,-0.750937363356371,8407.619999999974,8458.649999999981,fade breakout down,0,long
73,EURUSDz,sell,1.4,2023-12-19 09:45:00,1.0941,2023-12-19 10:10:00,1.0944,1.09442,1.09208,-41.999999999995374,9.799999999999999,0.0,-51.79999999999537,SL,4,1500.0,-32.199999999993345,57.40000000003408,-22.999999999995243,41.00000000002435,0.47111483283483624,8355.819999999978,8391.519999999993,fade breakout up,0,short
74,EURUSDz,buy,1.49,2023-12-20 10:40:00,1.09517,2023-12-20 11:10:00,1.09489,1.0949,1.09713,-41.72000000000864,10.43,0.0,-52.15000000000864,SL,5,1800.0,-10.43000000000216,99.82999999999231,-7.000000000001449,66.99999999999484,-0.16391098372885393,8303.66999999997,8362.52499999999,fade breakout down,0,long
